vensimID,Spartina,Sed Increase,Marsh Elevation,Plant Growth,T,SLR Rate,TIME STEP,D 
82,15.149104,0.379728,1.082000,0.378728,82,-0.001,1,2092-06-01
83,15.527832,0.389196,1.083000,0.388196,83,-0.001,1,2093-06-01
84,15.916028,0.398901,1.084000,0.397901,84,-0.001,1,2094-06-01
85,16.313928,0.408848,1.085000,0.407848,85,-0.001,1,2095-06-01
86,16.721777,0.419044,1.086000,0.418044,86,-0.001,1,2096-06-01
87,17.139821,0.429496,1.087000,0.428496,87,-0.001,1,2097-06-01
88,17.568317,0.440208,1.088000,0.439208,88,-0.001,1,2098-06-01
89,18.007525,0.451188,1.089000,0.450188,89,-0.001,1,2099-06-01
90,18.457713,0.462443,1.090000,0.461443,90,-0.001,1,2100-06-01
91,18.919155,0.473979,1.091000,0.472979,91,-0.001,1,2101-06-01
92,19.392134,0.485803,1.092000,0.484803,92,-0.001,1,2102-06-01
93,19.876938,0.497923,1.093000,0.496923,93,-0.001,1,2103-06-01
94,20.373861,0.510347,1.094000,0.509347,94,-0.001,1,2104-06-01
95,20.883208,0.523080,1.095000,0.522080,95,-0.001,1,2105-06-01
96,21.405288,0.536132,1.096000,0.535132,96,-0.001,1,2106-06-01
97,21.940420,0.549511,1.097000,0.548511,97,-0.001,1,2107-06-01
98,22.488931,0.563223,1.098000,0.562223,98,-0.001,1,2108-06-01
99,23.051154,0.577279,1.099000,0.576279,99,-0.001,1,2109-06-01
100,23.627433,0.591686,1.100000,0.590686,100,-0.001,1,2110-06-01
